,Name,Description,Cost,Tier,Activation,Slot,Components,TargetTypes,ShopFilters,IsDisabled,StreetBrawl,AbilityDuration,AbilityUnitTargetLimit,AbilityCooldownBetweenCharge,ChannelMoveSpeed,AbilityCooldown,AbilityCastDelay,AbilityPostCastDuration,AbilityCharges,Damage,Radius,SnowballSpeed,SnowballCount,Spread,MaxLevel,Progression,TooltipSections,AbilityCastRange,HeightOffGround,BonusFireRate,TechResist,BulletResist,TechRangeMultiplier,TechRadiusMultiplier,PropertyUpgrades,MaxBulletResist,StackLossFrequency,ArmorLossPerHit,BulletArmor,BonusSprintSpeed,TechPower,BaseAttackDamagePercent,CooldownReductionPerHit,CooldownReduction,DamageThreshold,LightMeleeCooldownMult,SpiritDamage,TechArmorDamageReduction,BulletLifestealPercent,BonusClipSizePercent,BonusMoveSpeed,ActivateTime,JumpVelocityHidden,AssaultLifestealPercent,AssaultDuration,AssaultFireRate,ExplodeRadius,Stamina,AirMoveIncreasePercent,StaminaCooldownReduction,AmmoPerSoul,SpiritPowerPerSoul,MaxStacks,StatusResistancePercent,OutOfCombatHealthRegen,DegenResistance,CaptureRadius,TetherDuration,TetherRadius,SlowPercent,GroundDashReductionPercent,DebuffDuration,StartRadius,BonusHealth,InvisAlertWhenFading,InvisCancelOnDamage,InvisFadeToDuration,InvisMoveSpeedMod,SpottedRadius,RevealOnDamageDuration,RevealOnSpottedDuration,FullInvisDistance,TempTechShieldHealth,RicochetDamagePercent,RicochetRadius,RicochetTargetsTooltipOnly,ProcChance,CritDamagePercent,BonusBulletSpeedPercent,SpiritStolePerHit,HeadshotBonusSteal,ProcCooldown,StealDuration,BonusAbilityDurationPercent,MinimumDamage,SlowResistancePercent,SpiritPower,TechRadiusMultiplierBuff,TechRangeMultiplierBuff,SpreadDuration,EndRadius,SlowDuration,DamageHeight,NPCDamageMult,FreezeDuration,PercentDamage,ResistReduction,BulletShieldDamagePercent,BulletResistReduction,MagicResistReduction,HealAmpReceivePenaltyPercent,HealAmpRegenPenaltyPercent,DiminishingMultiplier,SpinUpTime,SpinUpDecay,InitialFireRateDecrease,MaxFireRateIncrease,DamageDuration,DamageToStack,WeaponPowerPerStack,BonusClipSize,LocalBulletArmorReduction,HealthDrainedPerSecond,TickRate,BonusAbilityCharges,TechPowerPercent,BonusMeleeDamagePercent,LifestealHeal,LifestealHealPercent,NonHeroHealPct,BulletArmorReduction,FireRateSlow,SingleTargetPlayerMultiplier,WeaponPowerPerStackNonHero,NonHeroStackLimit,ActivatedFireRate,SlideScale,BurstFireShotPercent,NormalizedClipEmptySpeedIncrease,BurstFireShotsFromClipPercent,PerfectBurstWeaponPower,BaseBonusWeaponPower,NonBurstFireConversionFactor,MovementThresholdSq,RegenWhileInvisible,DamagePerChain,BonusPerChain,ChainRadius,ChainCount,ChainTickRate,MaxSlowPercent,MinHeal,HealPercentAmount,BuffDuration,BuffMoveSpeedBonus,CooldownBetweenChargeReduction,BonusChargedAbilityDamage,BonusChargedCooldownReduction,CooldownReductionFlat,LightMeleeTimeWindow,DeathImmunityDuration,DeathImmunityDamageReduction,RestoreDelay,HealLifePercentOutOfCombat,HealthThreshold,CombatBarrier,StatusImmuneDuration,AmbushDuration,AmbushBonusFireRate,AmbushBonusTechPower,AmbushBonusMeleeDamage,CloseRangeBonusWeaponPower,CloseRangeBonusDamageRange,MeleeResistPercent,MovementSpeedSlow,BonusBaseHealth,BuffBulletResist,BuffTechResist,ModelScaleGrowth,ModelScaleGrowthTooltip,TechArmor,BonusHealthRegen,RegenDuration,ExplosionRadius,ExplosionDamage,HeroMultiplier,ArmingTime,SpellParryDuration,SpiritPowerInnate,HealOnSuccess,ProcBonusMagicDamage,MeleeDistanceScale,BonusHeavyMeleeDamage,StunDuration,LightMeleeStacks,LightMeleeAmmo,HeavyMeleeMultiplier,AbilityLifestealPercentHero,HealOnKill,DeflectionPercent,BulletProcDeflectionPercent,DeflectionRandomness,SpiritSteal,SpiritStealDuration,MaxHealthPercentAsDPS,AuraRadius,CooldownReductionPctOnOthers,AirJumps,AirJumpVerticalSpeedPercent,InterruptCooldown,ActiveRadius,ActiveBonusMoveSpeed,NonHeroMult,ReloadSpeedMultipler,BulletRadius,HealthPctDamage,OutgoingDamagePenaltyPercent,SlideTurnScale,EvasionWhileSliding,FireRateWhileSliding,MagicIncreasePerStack,RespawnTime,BuffFrequency,AmmoReloadPercent,AbilityChargeUpTime,BulletsBonusMagicDamage,ProcAmmoConsumed,ProcBulletVelocity,ProcBaseAttackDamagePercent,ProcBaseAttackDamagePercentAltFire,BonusSpiritForChargedAbilities,LowHealthThreshold,FervorMovespeed,FervorFireRate,FervorTechResist,LingerDuration,BonusFireRateNPC,MoveWhileShootingSpeedPenaltyReductionPercent,MoveWhileZoomedSpeedPenaltyReductionPercent,TechPowerReduction,ResistReductionDuration,LowHealthPercentThreshold,LowHealthLifeStealPercent,KillBonusMoveSpeedPerStack,MaxKillBonusMoveSpeedStack,BonusDamagePerHero,ActiveBonusFireRate,TechShieldMaxHealth,GalvanicDebuffDuration,GalvanicBuffDuration,BuffDamageMult,MaxHealthLossPercent,BonusClipPerKill,FireRatePerKill,BuildUpDuration,BuildUpPerShot,WeaponPowerPerKill,SkipFrames,GuardianWardCombatBarrier,GrowthPerMeter,InitialWidth,HeadShotBonusDamage,HealPercentPerHeadshot,MovementSpeedBonusDuration,HealOnLevelHealAmount,MinimumHealAmount,HealAmpCastPercent,HealAmpRegenPercent,TotalHealthRegen,HealInterval,HealAmount,HealRadius,NonHeroAbilityLifestealTooltipOnly,HighGroundBonusWeaponPower,DamageReduction,LifeThreshold,AirBonusDamageGiven,AirBonusDamageTaken,GravityScale,AirControlPercent,AirControlAccelPercent,ImbuedBonusDuration,ImbuedBonusDamage,BulletResistBelowThreshold,BonusSpirit,AbilityLifestealPercentHeroPassive,ShootDurationForMax,BaseAttackDamagePercentAtMaxDuration,FireRateSlowDuration,LifestrikeHeal,LifestrikeHealPercent,LongRangeBonusWeaponPower,LongRangeBonusWeaponPowerMinRange,BonusAttackRangePercent,SummonDuration,FlyMoveSpeed,BonusMovespeed,BonusSpiritMaxTime,BonusSpiritWindow,BonusSpiritMin,MaxClipBonus,ReProcLockoutTime,WatcherMaxDuration,CurrentHealthDamage,ImbuedTechPower,FireRateBonus,HealFromHero,HealFromNPC,ParryCooldownReduction,BonusDamagePercent,ParrySuccessHealPercentage,ActiveMoveSpeedPenalty,DPS,DPSIncrease,DPSMax,Regeneration,RegenerationDuration,TechDamagePercent,DelayDuration,ImbueAbilityLifesteal,MaxHealthDamage,StunDelay,DazeMoveSpeed,DazeDuration,MinTargetsRequired,NonPlayerBonusWeaponPower,NonPlayerBulletResist,BonusSoulsPct,BonusAbilityChargesNonCharge,EnableAbilityCharges,CooldownReductionOnChargedAbilities,AllyPercentage,DamageThresholdDuration,RespawnDelay,ImpactDamage,BeamLength,BeamWidth,DampingFactor,LiftHeight,FloatMoveSpeed,EnemyLifeThreshold,BaseAttackDamagePercentBonus,ImmunityDuration,TechDamageReduction,SilenceDuration,BaseDamagePct,NanoTechPerShot,BaseDamagePerShot,SpellAmplificationMultiplier,SpawnTimePenalty,RespawnHealthPercent,DamageWindow,HealOnActivate,MaxArmorStacks,BulletResistPerStack,BulletResistDuration,AbilityChannelTime,SelfModifier,HealingPerCast,HealPerStack,MaxStaminaRestore,BulletDamageReflectedPct,SpiritDamageReflectedPct,SlamDownRadius,VerticalDifferenceTolerance,TossSpeed,DropDownSpeed,MaxLandingSpeed,ImpactHeight,MinAimAngle,BarrierDuration,CooldownReductionOnHitMin,CooldownReductionOnHitPct,DotHealthPercent,DamagePulseInterval,DamagePulseAmount,DamagePulseRadius,ResistStealAmount,BonusZoomPercent,ImbuedCooldownReduction,ShrinkDuration,EMPDuration,StealPerHit,StealPerKill,StackLostPerDeath,HealthSteal,ParticleRadius,SpiritDamageReductionProc,SpellShieldLingerDuration,SpellShieldFlavorText,CooldownReductionPctOnNonHeroes,DamagePctVsNonHeroes,LightMeleeScale,TechArmorGain,TechPowerGain,BonusShotsDuration,BulletSplitShot,SpreadAngleDegrees,WeaponDamageBonusDuration,WeaponDamagePerStack,ModelScale,TrackingSpeed,TurretAttackDelay,TurretAttackRange,TurretDeployTime,TurretLifetime,AttackConeAngle,StationaryWeaponPower,StationaryRecoilReduction,CasterHealthPercent,BulletSpeedOverride,StasisRadius,ExplodeDamage,EMPProcChance,SlamdownSpeed,MoveSpeedMax,StoredSpiritDamage,ActiveBonusLifesteal,ActiveReloadPercent,VisualContractRadius,MaxBonusDuration,MaxHeightForBonus,CooldownOnMiss,TechCleaveDamagePercent,TechCleaveRadius,TechResistBelowThreshold,NonHeroReductionPercent,ItemCooldownReduction,DotDuration,DotMultiplerTroopers,StackingBonusHealth,StackingBonusSprintSpeed,StackingTechRangeMultiplier,StackingTechRadiusMultiplier,StackingGoldPerMinute,ThinkRate,DelayBeforeStun,MaxHPDamage,InvisDuration,HealOnVeil,VexBarrierCombatBarrier,CasterBuffDuration,DebuffRadius,ReduceFootstepSound,WeaponPowerPerDeath,KillWindow,MaxWeaponPower,BaseBonusCounter,HealthDamagePercent,BonusReloadSpeed,BonusWeaponPower,OverdriveClipDuration,WeaponPowerWhileActivated,Interval
ability_item_pickup_effects,,,,,Press,,,"[, ', H, e, r, o, ', ]",,False,False,2.0,1,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armor_upgrade_base,,,,,Passive,Armor,,,,False,False,,1,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armor_upgrade_t1,,,800.0,1.0,Passive,Armor,,,,False,False,,1,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armor_upgrade_t2,,,1600.0,2.0,Passive,Armor,,,,False,False,,1,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armor_upgrade_t3,,,3200.0,3.0,Passive,Armor,,,,False,False,,1,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armor_upgrade_t4,,,6400.0,4.0,Passive,Armor,,,,False,False,,1,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armor_upgrade_t5,,,9999.0,5.0,Passive,Armor,,,,False,False,,1,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cosmetic_item_snowball,Snowball,"Throw snowballs at your friends and enemies. Distance and other properties improve as you make progress in the <span class=""highlight"">2025 Holiday Challenge</span>.<br><br><span class=""diminish"">Throwing a Snowball at an ally won't inflict damage and will reset its cooldown.</span>",,,InstantCast,,,"[, ', A, l, l, F, r, i, e, n, d, l, y, ', ,,  , ', A, l, l, E, n, e, m, y, ', ]","[, ', W, e, a, p, o, n, D, a, m, a, g, e, ', ]",False,False,,1,1.5,-1,18.0,0.1,1.0,1.0,1,5,630.0,1.0,3.0,32.0,"{'Damage': {'Levels': {'0': 1.0, '1': 2.0, '2': 4.0, '3': 8.0, '4': 12.0, '32': 20.0}}, 'Speed': {'Levels': {'0': 630.0, '1': 787.0, '2': 944.0, '3': 1102.0, '4': 1260.0, '5': 1417.0, '6': 1575.0, '32': 2756.0}}, 'Cooldown': {'Levels': {'0': 18.0, '1': 16.0, '2': 14.0, '3': 12.0, '4': 10.0, '5': 8.0}}, 'Charges': {'Levels': {'0': 1.0, '8': 2.0, '16': 3.0, '24': 4.0, '32': 5.0}, 'Behavior': 'UsePrevious'}, 'Radius': {'Levels': {'0': 5.0, '32': 20.0}}, 'SnowballCount': {'Levels': {'0': 1.0, '16': 2.0, '32': 3.0}, 'Behavior': 'UsePrevious'}}","[, {, ', T, y, p, e, ', :,  , ', E, A, r, e, a, _, A, c, t, i, v, e, ', ,,  , ', E, n, t, r, i, e, s, ', :,  , [, {, ', L, o, c, S, t, r, i, n, g, ', :,  , ', #, c, o, s, m, e, t, i, c, _, i, t, e, m, _, s, n, o, w, b, a, l, l, _, d, e, s, c, ', ,,  , ', I, m, p, o, r, t, a, n, t, P, r, o, p, e, r, t, i, e, s, ', :,  , [, ', D, a, m, a, g, e, ', ,,  , ', A, b, i, l, i, t, y, C, h, a, r, g, e, s, ', ], ,,  , ', P, r, o, p, e, r, t, i, e, s, ', :,  , [, ', S, n, o, w, b, a, l, l, S, p, e, e, d, ', ,,  , ', S, n, o, w, b, a, l, l, C, o, u, n, t, ', ,,  , ', R, a, d, i, u, s, ', ], }, ], }, ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cosmetic_item_voting_poster,Place Poster,,,,OnRelease,,,,"[, ', W, e, a, p, o, n, D, a, m, a, g, e, ', ]",False,False,,1,-1.0,-1,0.5,0.15,,,,5,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item_projectile_test_01,,,800.0,1.0,InstantCast,Weapon,,"[, ', A, l, l, E, n, e, m, y, ', ]","[, ', W, e, a, p, o, n, D, a, m, a, g, e, ', ]",True,False,1.0,1,-1.0,-1,1.0,0.01,,,,0.5m,,,,,,"[, {, ', T, y, p, e, ', :,  , ', E, A, r, e, a, _, A, c, t, i, v, e, ', ,,  , ', E, n, t, r, i, e, s, ', :,  , [, {, ', L, o, c, S, t, r, i, n, g, ', :,  , ', #, i, t, e, m, _, p, r, o, j, e, c, t, i, l, e, _, t, e, s, t, _, 0, 1, _, d, e, s, c, ', ,,  , ', I, m, p, o, r, t, a, n, t, P, r, o, p, e, r, t, i, e, s, ', :,  , [, ], ,,  , ', P, r, o, p, e, r, t, i, e, s, ', :,  , [, ', R, a, d, i, u, s, ', ,,  , ', A, b, i, l, i, t, y, C, a, s, t, R, a, n, g, e, ', ,,  , ', A, b, i, l, i, t, y, C, o, o, l, d, o, w, n, ', ], }, ], }, ]",30m,0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
